,core_id,serial,fw_version,start,end,loc_id,lat,lon,desc,record_date,battery_level,rain_median,rain_avg,rain_max,rain_min,noise_median,noise_avg,noise_max,noise_min,luminosity,temperature,humidity,pm10,pm25,no2,co,pressure
70,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 23:26:16.106000+00:00,81.73,,4,19,-303,,41,82,27,13,14.64,75.04,20,20,1668,194,1011.05
71,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 23:27:57.186000+00:00,83.2,,-1,5,-346,,29,79,26,0,13.2,78.97,14,14,1890,185,1010.68
72,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 23:28:19.694000+00:00,82.87,,3,18,-401,,38,86,29,63,15.35,89.12,25,24,372,220,1009.34
73,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 23:28:50.151000+00:00,82.05,,5,24,-265,,41,78,27,72,14.51,72.1,19,18,1452,198,1009.22
74,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 23:29:01.508000+00:00,81.89,,0,21,-302,,44,78,30,0,14.65,78.92,19,18,1371,205,1009.75
75,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 23:29:26.212000+00:00,82.21,,0,417,-391,,30,85,25,0,14.85,83.69,2,2,1727,188,1010.13
76,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 23:30:09.458000+00:00,83.85,,9,222,-245,,41,86,29,32,14.93,74.6,31,25,1453,169,1010.05
77,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 23:33:01.820000+00:00,83.03,,-14,25,-497,,48,85,30,1,15.05,72.36,17,17,1512,158,1008.52
78,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 23:34:16.549000+00:00,81.4,,50,60,-218,,35,78,29,4,14.32,78.62,13,11,1792,183,1010.52
79,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 23:34:55.256000+00:00,81.89,,-57,695,-338,,58,86,46,0,14.96,72.81,18,18,1930,138,1007.8
80,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 23:38:14.264000+00:00,81.56,,7,146,-42,,54,64,46,17,14.62,74.94,23,22,1660,193,1010.9
81,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 23:39:44.218000+00:00,83.2,,-1,5,-249,,29,78,26,0,13.49,80.42,19,18,1897,195,1010.58
82,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 23:40:11.723000+00:00,82.87,,174,1024,-373,,73,86,65,63,15.3,89.79,21,19,392,240,1009.2
83,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 23:40:50.905000+00:00,82.05,,5,23,-223,,39,78,27,76,14.36,72.61,18,15,1436,193,1009.04
